( 165 : 5 ) : [<2:2:4>, <4:6:8>, <9:7:18>, <10:12:20>, <13:15:26>]
( 166 : 5 ) : [<2:2:4>, <4:6:8>, <9:7:18>, <12:10:24>, <15:13:30>]
( 167 : 5 ) : [<2:2:4>, <4:6:8>, <9:7:18>, <12:10:24>, <14:14:28>]
( 168 : 5 ) : [<2:2:4>, <4:6:8>, <9:7:18>, <12:10:24>, <13:15:26>]
( 169 : 5 ) : [<2:2:4>, <4:6:8>, <9:7:18>, <11:11:22>, <15:13:30>]
( 170 : 5 ) : [<2:2:4>, <4:6:8>, <9:7:18>, <11:11:22>, <14:14:28>]
( 171 : 5 ) : [<2:2:4>, <4:6:8>, <9:7:18>, <11:11:22>, <13:15:26>]
( 172 : 5 ) : [<2:2:4>, <4:6:8>, <7:9:14>, <10:12:20>, <15:13:30>]
( 173 : 5 ) : [<2:2:4>, <4:6:8>, <7:9:14>, <10:12:20>, <14:14:28>]
( 174 : 5 ) : [<2:2:4>, <4:6:8>, <7:9:14>, <10:12:20>, <13:15:26>]
( 175 : 5 ) : [<2:2:4>, <4:6:8>, <7:9:14>, <12:10:24>, <15:13:30>]
( 176 : 5 ) : [<2:2:4>, <4:6:8>, <7:9:14>, <12:10:24>, <14:14:28>]
( 177 : 5 ) : [<2:2:4>, <4:6:8>, <7:9:14>, <12:10:24>, <13:15:26>]
( 178 : 5 ) : [<2:2:4>, <4:6:8>, <7:9:14>, <11:11:22>, <15:13:30>]
( 179 : 5 ) : [<2:2:4>, <4:6:8>, <7:9:14>, <11:11:22>, <14:14:28>]
( 180 : 5 ) : [<2:2:4>, <4:6:8>, <7:9:14>, <11:11:22>, <13:15:26>]
( 181 : 5 ) : [<2:2:4>, <4:6:8>, <8:8:16>, <10:12:20>, <15:13:30>]
( 182 : 5 ) : [<2:2:4>, <4:6:8>, <8:8:16>, <10:12:20>, <14:14:28>]
( 183 : 5 ) : [<2:2:4>, <4:6:8>, <8:8:16>, <10:12:20>, <13:15:26>]
( 184 : 5 ) : [<2:2:4>, <4:6:8>, <8:8:16>, <12:10:24>, <15:13:30>]
( 185 : 5 ) : [<2:2:4>, <4:6:8>, <8:8:16>, <12:10:24>, <14:14:28>]
( 186 : 5 ) : [<2:2:4>, <4:6:8>, <8:8:16>, <12:10:24>, <13:15:26>]
( 187 : 5 ) : [<2:2:4>, <4:6:8>, <8:8:16>, <11:11:22>, <15:13:30>]
( 188 : 5 ) : [<2:2:4>, <4:6:8>, <8:8:16>, <11:11:22>, <14:14:28>]
( 189 : 5 ) : [<2:2:4>, <4:6:8>, <8:8:16>, <11:11:22>, <13:15:26>]
( 190 : 5 ) : [<2:2:4>, <6:4:12>, <9:7:18>, <10:12:20>, <15:13:30>]
( 191 : 5 ) : [<2:2:4>, <6:4:12>, <9:7:18>, <10:12:20>, <14:14:28>]
( 192 : 5 ) : [<2:2:4>, <6:4:12>, <9:7:18>, <10:12:20>, <13:15:26>]
( 193 : 5 ) : [<2:2:4>, <6:4:12>, <9:7:18>, <12:10:24>, <15:13:30>]
( 194 : 5 ) : [<2:2:4>, <6:4:12>, <9:7:18>, <12:10:24>, <14:14:28>]
( 195 : 5 ) : [<2:2:4>, <6:4:12>, <9:7:18>, <12:10:24>, <13:15:26>]
( 196 : 5 ) : [<2:2:4>, <6:4:12>, <9:7:18>, <11:11:22>, <15:13:30>]
( 197 : 5 ) : [<2:2:4>, <6:4:12>, <9:7:18>, <11:11:22>, <14:14:28>]
( 198 : 5 ) : [<2:2:4>, <6:4:12>, <9:7:18>, <11:11:22>, <13:15:26>]
( 199 : 5 ) : [<2:2:4>, <6:4:12>, <7:9:14>, <10:12:20>, <15:13:30>]
( 200 : 5 ) : [<2:2:4>, <6:4:12>, <7:9:14>, <10:12:20>, <14:14:28>]
( 201 : 5 ) : [<2:2:4>, <6:4:12>, <7:9:14>, <10:12:20>, <13:15:26>]
( 202 : 5 ) : [<2:2:4>, <6:4:12>, <7:9:14>, <12:10:24>, <15:13:30>]
( 203 : 5 ) : [<2:2:4>, <6:4:12>, <7:9:14>, <12:10:24>, <14:14:28>]
( 204 : 5 ) : [<2:2:4>, <6:4:12>, <7:9:14>, <12:10:24>, <13:15:26>]
( 205 : 5 ) : [<2:2:4>, <6:4:12>, <7:9:14>, <11:11:22>, <15:13:30>]
( 206 : 5 ) : [<2:2:4>, <6:4:12>, <7:9:14>, <11:11:22>, <14:14:28>]
( 207 : 5 ) : [<2:2:4>, <6:4:12>, <7:9:14>, <11:11:22>, <13:15:26>]
( 208 : 5 ) : [<2:2:4>, <6:4:12>, <8:8:16>, <10:12:20>, <15:13:30>]
( 209 : 5 ) : [<2:2:4>, <6:4:12>, <8:8:16>, <10:12:20>, <14:14:28>]
( 210 : 5 ) : [<2:2:4>, <6:4:12>, <8:8:16>, <10:12:20>, <13:15:26>]
( 211 : 5 ) : [<2:2:4>, <6:4:12>, <8:8:16>, <12:10:24>, <15:13:30>]
( 212 : 5 ) : [<2:2:4>, <6:4:12>, <8:8:16>, <12:10:24>, <14:14:28>]
( 213 : 5 ) : [<2:2:4>, <6:4:12>, <8:8:16>, <12:10:24>, <13:15:26>]
( 214 : 5 ) : [<2:2:4>, <6:4:12>, <8:8:16>, <11:11:22>, <15:13:30>]
( 215 : 5 ) : [<2:2:4>, <6:4:12>, <8:8:16>, <11:11:22>, <14:14:28>]
( 216 : 5 ) : [<2:2:4>, <6:4:12>, <8:8:16>, <11:11:22>, <13:15:26>]
( 217 : 5 ) : [<2:2:4>, <5:5:10>, <9:7:18>, <10:12:20>, <15:13:30>]
( 218 : 5 ) : [<2:2:4>, <5:5:10>, <9:7:18>, <10:12:20>, <14:14:28>]
( 219 : 5 ) : [<2:2:4>, <5:5:10>, <9:7:18>, <10:12:20>, <13:15:26>]
( 220 : 5 ) : [<2:2:4>, <5:5:10>, <9:7:18>, <12:10:24>, <15:13:30>]
( 221 : 5 ) : [<2:2:4>, <5:5:10>, <9:7:18>, <12:10:24>, <14:14:28>]
( 222 : 5 ) : [<2:2:4>, <5:5:10>, <9:7:18>, <12:10:24>, <13:15:26>]
( 223 : 5 ) : [<2:2:4>, <5:5:10>, <9:7:18>, <11:11:22>, <15:13:30>]
( 224 : 5 ) : [<2:2:4>, <5:5:10>, <9:7:18>, <11:11:22>, <14:14:28>]
( 225 : 5 ) : [<2:2:4>, <5:5:10>, <9:7:18>, <11:11:22>, <13:15:26>]
( 226 : 5 ) : [<2:2:4>, <5:5:10>, <7:9:14>, <10:12:20>, <15:13:30>]
( 227 : 5 ) : [<2:2:4>, <5:5:10>, <7:9:14>, <10:12:20>, <14:14:28>]
( 228 : 5 ) : [<2:2:4>, <5:5:10>, <7:9:14>, <10:12:20>, <13:15:26>]
( 229 : 5 ) : [<2:2:4>, <5:5:10>, <7:9:14>, <12:10:24>, <15:13:30>]
( 230 : 5 ) : [<2:2:4>, <5:5:10>, <7:9:14>, <12:10:24>, <14:14:28>]
( 231 : 5 ) : [<2:2:4>, <5:5:10>, <7:9:14>, <12:10:24>, <13:15:26>]
( 232 : 5 ) : [<2:2:4>, <5:5:10>, <7:9:14>, <11:11:22>, <15:13:30>]
( 233 : 5 ) : [<2:2:4>, <5:5:10>, <7:9:14>, <11:11:22>, <14:14:28>]
( 234 : 5 ) : [<2:2:4>, <5:5:10>, <7:9:14>, <11:11:22>, <13:15:26>]
( 235 : 5 ) : [<2:2:4>, <5:5:10>, <8:8:16>, <10:12:20>, <15:13:30>]
( 236 : 5 ) : [<2:2:4>, <5:5:10>, <8:8:16>, <10:12:20>, <14:14:28>]
( 237 : 5 ) : [<2:2:4>, <5:5:10>, <8:8:16>, <10:12:20>, <13:15:26>]
( 238 : 5 ) : [<2:2:4>, <5:5:10>, <8:8:16>, <12:10:24>, <15:13:30>]
( 239 : 5 ) : [<2:2:4>, <5:5:10>, <8:8:16>, <12:10:24>, <14:14:28>]
( 240 : 5 ) : [<2:2:4>, <5:5:10>, <8:8:16>, <12:10:24>, <13:15:26>]
( 241 : 5 ) : [<2:2:4>, <5:5:10>, <8:8:16>, <11:11:22>, <15:13:30>]
( 242 : 5 ) : [<2:2:4>, <5:5:10>, <8:8:16>, <11:11:22>, <14:14:28>]
( 243 : 5 ) : [<2:2:4>, <5:5:10>, <8:8:16>, <11:11:22>, <13:15:26>]
